Date,Business Name,Business Type,Zip Code,Latitude,Longitude,Foot Traffic Volume,Duration of Stay,Peak Foot Traffic Time,Traffic Trend (Week),Traffic Trend (Month)
2024-02-21,Taste Corner,Restaurant,95113,37.360068,-121.884938,358,00:11,Evening,4.03,-12.28
2024-02-21,Baker's Dozen,Restaurant,95133,37.391952,-121.844931,355,01:10,Morning,3.08,1.48
2024-02-21,Urban Goods,Restaurant,95110,37.392132,-121.81917,408,01:43,Evening,3.61,-18.64
2024-02-22,Bistro 101,Restaurant,95148,37.307402,-121.844585,201,02:00,Morning,5.2,5.01
2024-02-22,Taco Fiesta,Restaurant,95110,37.311055,-121.885669,84,00:43,Morning,-7.87,-18.45
2024-02-22,Deli Delight,Store,95122,37.34946,-121.820181,245,00:52,Afternoon,-5.87,4.42
2024-02-23,Green Grocers,Store,95126,37.341796,-121.884105,138,00:11,Afternoon,7.45,-1.28
2024-02-23,Bistro 101,Store,95148,37.362153,-121.876112,496,00:25,Morning,2.51,-6.34
2024-02-23,Taste Corner,Store,95125,37.360181,-121.838024,63,00:17,Evening,-5.13,-18.64
2024-02-24,Market Fresh,Store,95125,37.317745,-121.841574,264,01:10,Morning,1.65,3.82
2024-02-24,Bistro 101,Store,95112,37.383265,-121.831989,107,01:13,Morning,-8.66,14.4
2024-02-24,Boutique Charm,Restaurant,95122,37.366877,-121.850305,56,01:24,Morning,2.16,12.77
2024-02-25,Baker's Dozen,Restaurant,95148,37.342653,-121.833958,183,00:05,Afternoon,-9.16,14.11
2024-02-25,Urban Goods,Store,95110,37.329063,-121.862571,304,01:20,Evening,-8.3,-19.93
2024-02-25,Urban Goods,Restaurant,95122,37.391054,-121.842493,414,00:57,Morning,-0.6,-19.85
2024-02-26,Deli Delight,Store,95116,37.302659,-121.893021,116,00:28,Evening,0.93,12.85
2024-02-26,Market Fresh,Store,95148,37.371759,-121.856452,192,00:05,Afternoon,-2.96,16.81
2024-02-26,Boutique Charm,Restaurant,95128,37.32693,-121.876005,403,00:07,Afternoon,-7.51,7.45
2024-02-27,Bistro 101,Store,95128,37.303553,-121.828191,123,00:37,Morning,6.07,-10.56
2024-02-27,Taste Corner,Restaurant,95133,37.317877,-121.885553,404,01:42,Evening,8.94,-1.26
2024-02-27,Taste Corner,Store,95125,37.340661,-121.865079,286,00:46,Morning,5.29,7.81
2024-02-28,Market Fresh,Store,95148,37.3423,-121.877651,462,01:42,Evening,6.1,5.2
2024-02-28,Bistro 101,Restaurant,95125,37.3994,-121.857595,397,01:01,Afternoon,-4.56,-4.19
2024-02-28,Green Grocers,Store,95126,37.335009,-121.805377,54,00:50,Evening,-3.63,-19.5
2024-02-29,Taco Fiesta,Store,95131,37.331905,-121.849265,480,00:54,Morning,8.45,18.02
2024-02-29,Green Grocers,Store,95126,37.33826,-121.885156,99,00:35,Evening,0.41,-9.38
2024-02-29,Taste Corner,Restaurant,95113,37.349513,-121.852865,343,01:46,Evening,-6.53,-16.6
2024-03-01,Market Fresh,Restaurant,95148,37.315938,-121.812402,268,00:15,Morning,-1.13,19.32
2024-03-01,Market Fresh,Store,95112,37.311981,-121.849568,223,00:26,Evening,-4.89,-0.32
2024-03-01,Deli Delight,Restaurant,95131,37.393618,-121.834826,283,00:22,Morning,-1.65,5.33
2024-03-02,Deli Delight,Store,95126,37.366459,-121.883015,500,00:36,Evening,5.35,-6.18
2024-03-02,Bistro 101,Restaurant,95110,37.353877,-121.860923,473,01:38,Morning,-1.32,14.0
2024-03-02,Market Fresh,Restaurant,95113,37.359689,-121.893172,453,01:15,Afternoon,1.76,3.81
2024-03-03,Market Fresh,Store,95131,37.309625,-121.850727,444,01:00,Evening,-8.25,11.93
2024-03-03,Taste Corner,Store,95125,37.346115,-121.8824,470,01:39,Evening,-8.88,-10.35
2024-03-03,Bistro 101,Restaurant,95133,37.386691,-121.873673,75,00:27,Evening,4.13,13.34
2024-03-04,Boutique Charm,Restaurant,95128,37.32853,-121.881106,334,00:40,Afternoon,-6.9,-11.4
2024-03-04,Deli Delight,Store,95126,37.385866,-121.866327,311,00:18,Morning,0.95,5.63
2024-03-04,Taco Fiesta,Store,95112,37.367484,-121.856765,261,01:43,Evening,-6.77,17.03
2024-03-05,Market Fresh,Store,95110,37.306011,-121.822434,471,00:49,Evening,-2.74,13.86
2024-03-05,Deli Delight,Restaurant,95148,37.320004,-121.87739,222,00:17,Afternoon,5.8,-9.67
2024-03-05,Baker's Dozen,Restaurant,95131,37.361217,-121.891217,238,01:11,Morning,5.65,0.54
2024-03-06,Market Fresh,Restaurant,95116,37.365758,-121.893833,177,00:47,Morning,8.77,13.34
2024-03-06,Market Fresh,Restaurant,95122,37.388601,-121.832049,380,00:50,Morning,-0.15,-8.19
2024-03-06,Boutique Charm,Store,95112,37.385468,-121.849992,53,01:41,Evening,-5.61,10.64
2024-03-07,Boutique Charm,Restaurant,95148,37.350828,-121.896096,171,01:03,Afternoon,-7.67,-10.89
2024-03-07,Boutique Charm,Restaurant,95131,37.39164,-121.880025,57,01:04,Morning,-0.64,3.32
2024-03-07,Baker's Dozen,Restaurant,95110,37.368125,-121.889732,199,00:16,Morning,-6.02,5.19
2024-03-08,Bistro 101,Store,95125,37.359214,-121.898359,134,01:31,Morning,-3.17,11.89
2024-03-08,Taste Corner,Store,95148,37.310885,-121.810703,181,00:11,Afternoon,-7.2,-8.27
2024-03-08,Boutique Charm,Restaurant,95112,37.360634,-121.831435,406,00:44,Afternoon,-0.07,-19.35
2024-03-09,Market Fresh,Restaurant,95116,37.356675,-121.86094,498,00:21,Evening,-8.51,-3.11
2024-03-09,Bistro 101,Store,95113,37.379927,-121.853481,477,00:30,Morning,1.96,-4.99
2024-03-09,Taste Corner,Store,95148,37.356705,-121.8256,315,01:59,Evening,-4.96,11.29
2024-03-10,Green Grocers,Store,95122,37.399088,-121.852749,71,01:59,Morning,1.62,-1.51
2024-03-10,Deli Delight,Restaurant,95110,37.302095,-121.840388,258,02:00,Afternoon,8.44,3.26
2024-03-10,Green Grocers,Restaurant,95128,37.329671,-121.816369,391,00:15,Evening,-3.07,10.94
2024-03-11,Urban Goods,Restaurant,95110,37.346294,-121.818889,214,00:47,Evening,-4.98,16.46
2024-03-11,Baker's Dozen,Store,95110,37.340779,-121.849667,66,01:15,Afternoon,-3.72,14.08
2024-03-11,Boutique Charm,Restaurant,95148,37.329337,-121.824582,191,00:15,Morning,-3.5,19.33
2024-03-12,Boutique Charm,Restaurant,95131,37.334222,-121.807002,129,00:28,Afternoon,3.41,-16.14
2024-03-12,Market Fresh,Store,95125,37.302842,-121.874385,146,00:57,Evening,4.78,13.5
2024-03-12,Taste Corner,Restaurant,95113,37.313514,-121.893444,471,00:22,Afternoon,7.2,-14.53
2024-03-13,Deli Delight,Restaurant,95128,37.35572,-121.809949,417,01:30,Evening,-4.27,7.22
2024-03-13,Baker's Dozen,Store,95131,37.32439,-121.898626,252,01:55,Evening,-3.88,-19.44
2024-03-13,Taste Corner,Restaurant,95125,37.325244,-121.871975,375,01:37,Afternoon,0.7,-1.26
2024-03-14,Bistro 101,Store,95128,37.363376,-121.893391,266,00:51,Afternoon,-2.63,-11.04
2024-03-14,Deli Delight,Restaurant,95133,37.327197,-121.890053,312,01:38,Evening,3.66,-13.2
2024-03-14,Bistro 101,Restaurant,95128,37.321419,-121.863249,405,01:00,Morning,0.17,3.42
2024-03-15,Green Grocers,Restaurant,95128,37.33699,-121.837413,261,01:58,Evening,7.86,-13.77
2024-03-15,Taco Fiesta,Restaurant,95112,37.310246,-121.882924,462,01:58,Afternoon,7.19,15.63
2024-03-15,Baker's Dozen,Restaurant,95110,37.325933,-121.862781,66,00:30,Evening,-8.91,-18.7
2024-03-16,Green Grocers,Restaurant,95113,37.331935,-121.80287,337,00:07,Evening,-7.88,9.75
2024-03-16,Taste Corner,Store,95131,37.359388,-121.856043,203,00:14,Evening,4.57,4.75
2024-03-16,Taste Corner,Store,95122,37.320479,-121.851625,122,00:55,Morning,-4.78,-3.21
2024-03-17,Green Grocers,Restaurant,95133,37.36552,-121.877861,491,00:23,Evening,6.69,-16.74
2024-03-17,Urban Goods,Restaurant,95110,37.329314,-121.803578,126,01:26,Afternoon,3.41,-12.53
2024-03-17,Deli Delight,Store,95131,37.351183,-121.871401,326,01:19,Afternoon,1.93,-13.34
2024-03-18,Deli Delight,Restaurant,95131,37.380246,-121.829282,194,00:10,Morning,7.16,3.91
2024-03-18,Taste Corner,Restaurant,95131,37.317168,-121.84484,217,01:37,Evening,-2.35,3.56
2024-03-18,Deli Delight,Store,95122,37.393595,-121.890326,105,00:13,Afternoon,-4.31,-15.99
2024-03-19,Taco Fiesta,Store,95133,37.31587,-121.858777,450,00:26,Morning,0.72,0.66
2024-03-19,Green Grocers,Restaurant,95112,37.355287,-121.851562,209,00:39,Morning,-8.23,13.29
2024-03-19,Baker's Dozen,Store,95125,37.384491,-121.824811,335,01:03,Morning,-6.0,1.02
2024-03-20,Urban Goods,Restaurant,95122,37.371258,-121.833874,68,01:55,Morning,-3.22,7.54
2024-03-20,Taco Fiesta,Store,95128,37.387613,-121.803541,402,01:06,Evening,-4.29,-13.85
2024-03-20,Bistro 101,Store,95128,37.331383,-121.854602,182,00:16,Morning,7.61,14.31
2024-03-21,Baker's Dozen,Store,95131,37.398191,-121.875184,400,01:53,Morning,-5.28,-4.33
2024-03-21,Bistro 101,Store,95116,37.33522,-121.853729,376,01:42,Afternoon,8.03,-0.72
2024-03-21,Bistro 101,Restaurant,95113,37.386874,-121.878769,159,01:52,Afternoon,-5.95,16.58
2024-03-22,Market Fresh,Restaurant,95113,37.349432,-121.897475,212,00:27,Afternoon,4.23,8.48
2024-03-22,Taco Fiesta,Restaurant,95148,37.383998,-121.801806,227,00:08,Morning,3.92,-2.19
2024-03-22,Taste Corner,Restaurant,95125,37.386478,-121.898356,455,00:52,Evening,6.73,0.89
2024-03-23,Taste Corner,Store,95122,37.317613,-121.855425,322,00:48,Morning,-0.28,-19.94
2024-03-23,Taco Fiesta,Store,95131,37.32572,-121.820918,125,00:44,Evening,5.99,8.86
2024-03-23,Market Fresh,Store,95112,37.372776,-121.832328,205,01:15,Morning,0.7,13.58
2024-03-24,Deli Delight,Store,95125,37.313222,-121.885062,431,01:13,Morning,-3.58,-19.68
2024-03-24,Market Fresh,Restaurant,95126,37.350068,-121.866927,125,00:50,Evening,5.63,-6.29
2024-03-24,Deli Delight,Store,95131,37.312398,-121.848452,233,00:37,Evening,2.0,-9.54
2024-03-25,Market Fresh,Restaurant,95126,37.300953,-121.874393,452,00:23,Morning,1.8,0.52
2024-03-25,Bistro 101,Store,95148,37.365448,-121.858845,414,00:28,Evening,7.66,-18.21
2024-03-25,Taco Fiesta,Store,95133,37.324725,-121.893323,149,01:19,Afternoon,-6.08,-6.01
2024-03-26,Market Fresh,Restaurant,95148,37.367619,-121.862876,125,00:35,Afternoon,9.64,-14.64
2024-03-26,Baker's Dozen,Restaurant,95128,37.35093,-121.885349,54,00:16,Afternoon,-4.26,5.46
2024-03-26,Taco Fiesta,Store,95110,37.326494,-121.859189,449,01:10,Morning,5.48,15.52
2024-03-27,Taste Corner,Store,95128,37.373234,-121.874483,284,00:15,Morning,1.88,-8.82
2024-03-27,Green Grocers,Restaurant,95112,37.317632,-121.804271,105,01:00,Morning,-8.02,2.67
2024-03-27,Taste Corner,Restaurant,95122,37.304807,-121.844093,495,01:03,Afternoon,0.71,-10.27
2024-03-28,Urban Goods,Restaurant,95110,37.371077,-121.837584,55,00:40,Afternoon,-7.21,-15.9
2024-03-28,Bistro 101,Restaurant,95113,37.399557,-121.802824,227,01:52,Morning,1.73,-18.25
